--------- beginning of main
03-12 22:19:11.027 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ........ 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.027 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
03-12 22:19:11.039 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ........ 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.039 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
03-12 22:19:11.044 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ........ 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.045 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
03-12 22:19:11.054 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ........ 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.054 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
03-12 22:19:11.062 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ........ 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.063 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
--------- beginning of system
03-12 22:19:11.066  1171  1171 D io_stats: !@   8,0 r 2676409 91171272 w 2413583 60711164 d 251902 66941304 f 97330 265418 iot 1016292 0 th 0 0 0 pt 0 inp 0 0 37031.751
03-12 22:19:11.073 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ........ 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.073 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
03-12 22:19:11.085 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ......ID 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.085 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
03-12 22:19:13.877  3003  4564 I ActivityManager: Changes in 5006 8 to 8, 128 to 0
03-12 22:19:13.877  3003  3953 V MdnieScenarioControlService: mAclOffEnabled : false
03-12 22:19:13.877  3003  3993 D SemInputDevice:TSP_SUB: SetPropertyTask: CMD,low_sensitivity_mode_enable,0 [03-12 22:19:13.875]
03-12 22:19:13.878  4205  4205 I AppIconSolution: return adaptive icon for com.android.vending, isNight = true
03-12 22:19:13.878  3003  3915 E PocketModeEvent: MSG_TYPE_DISABLE_TIMEOUT_DELAY_INVALID
03-12 22:19:13.879  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=3
03-12 22:19:13.879  4205  4205 I AppIconSolution: return adaptive icon for com.samsung.android.app.smartcapture, isNight = true
03-12 22:19:13.879  5393  5832 E bluetooth: system/gd/hci/le_scanning_manager.cc:929 scan_filter_parameter_setup: Remove passive filterScan. filter_index=30, uuid=0000fd5a-0000-1000-8000-00805f9b34fb
03-12 22:19:13.880  3003  3003 I AfterimageCompensationService: ACTION_SCREEN_OFF
03-12 22:19:13.880  6103  6103 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:2068 android.content.ContextWrapper.startService:872 android.content.ContextWrapper.startService:872 com.sec.android.diagmonagent.sa.receiver.CFLogReceiver.onReceive:56 android.app.ActivityThread.handleReceiver:5663 
03-12 22:19:13.880  4205  4205 I AppIconSolution: return adaptive icon for com.sygic.aura, isNight = true
03-12 22:19:13.880  4607 23061 D NxpGenExtn: vendor_nfc_handle_event Enter eventCode:12
03-12 22:19:13.880  3003  3083 D ActivityManager: sync unfroze 20249 com.samsung.android.fmm for 3
03-12 22:19:13.880  4607 23061 D NxpGenExtn: handleVendorNciRspNtf Enter dataLen:5
03-12 22:19:13.880  4607 23061 D NxpPropExtn: phNxpProp_HandleVendorNciRspNtf PropExtensionController Enter dataLen:5
03-12 22:19:13.880  4607 23061 D NxpPropExtn: handleVendorNciRspNtf Enter dataLen:5
03-12 22:19:13.880  4607 23061 D NxpGenExtn: stopWriteRspTimer Enter cmdGid:0, cmdOid:2, rspGid:0, rspOid:2,
03-12 22:19:13.881  4607 23061 D NxpGenExtn: DefaultEventHandler::handleVendorNciRspNtf Enter dataLen:5
03-12 22:19:13.881  4607 23061 D NxpGenExtn: phNxpExtn_HandleVendorNciRspNtf prop status:81
03-12 22:19:13.881  4607 23061 D NxpGenExtn: NfcExtensionController::handleVendorNciRspNtf Enter dataLen:5
03-12 22:19:13.881  4607 23061 D NxpGenExtn: DefaultEventHandler::handleVendorNciRspNtf Enter dataLen:5
03-12 22:19:13.881  4607 23061 D NxpGenExtn: phNxpExtn_HandleVendorNciRspNtf gen status:81
03-12 22:19:13.881  4607  4986 D libnfc_nci: nfaDeviceManagementCallback: enter; event=0x2
03-12 22:19:13.881  4607  4986 D libnfc_nci: nfaDeviceManagementCallback: NFA_DM_SET_CONFIG_EVT
03-12 22:19:13.881  1993  6685 I vendor.qti.bluetooth@1.1-ibs_handler: ProcessIbsCmd: Received IBS_WAKE_IND: 0xFD
03-12 22:19:13.881  1993  6685 I vendor.qti.bluetooth@1.1-ibs_handler: ProcessIbsCmd: Writing IBS_WAKE_ACK
03-12 22:19:13.881  4205  4205 D S.S.N.  : updateMainListArray - changeFoldState
03-12 22:19:13.881  4205  4205 D S.S.N.  : updateMainListArray allMap - size : 6, isEmpty: true
03-12 22:19:13.881  4205  4205 D S.S.N.  : updateMainListArray allMap - key : -1|android|32|null|1000, com.android.systemui.statusbar.notification.collection.NotificationEntry@71f972a
03-12 22:19:13.881  4205  4205 D S.S.N.  : updateMainListArray allMap - key : 0|com.google.android.googlequicksearchbox|0|1391480565::a:snotification:[0x394,wx.f,NOTIFICATION]|10261, com.android.systemui.statusbar.notification.collection.NotificationEntry@5ec826b
03-12 22:19:13.881  4205  4205 D S.S.N.  : updateMainListArray allMap - key : 0|com.sec.android.daemonapp|5|null|10222, com.android.systemui.statusbar.notification.collection.NotificationEntry@bc8e7bd
03-12 22:19:13.881  4205  4205 D S.S.N.  : updateMainListArray allMap - key : 0|com.android.vending|0|0|com.android.vending|g:Aggregate_NormalNotificationSection|10260|0|com.android.vending|g:Aggregate_NormalNotificationSection, com.android.systemui.statusbar.notification.collection.NotificationEntry@9b253be
03-12 22:19:13.881  4205  4205 D S.S.N.  : updateMainListArray allMap child : 0|com.android.vending|-234430262|null|10260
03-12 22:19:13.881  4205  4205 I AppIconSolution: return adaptive icon for com.android.vending, isNight = true
03-12 22:19:13.882  3003  3083 D ActivityManager: sync unfroze 20713 com.samsung.android.mdx.kit for 3
03-12 22:19:13.882 20713 20713 I MCFQS   : (DeviceConnectionService) onTrimMemory()-[td:main] level: 40
03-12 22:19:13.882 20713 20713 I MCFQS   : (DiscoveryResponseUseCaseImpl) onTrimMemory()-[td:main] in
03-12 22:19:13.882 20713 20713 I MCFQS   : (AuthReceiver) stopServer()-[td:main] type=[2]
03-12 22:19:13.882  3003  3083 I ActivityManager: Changes in 5025 10 to 10, 0 to 128
03-12 22:19:13.882 20713 20713 I MCFQS   : (DeviceConnectionService) onTrimMemory()-[td:main] level: 40
03-12 22:19:13.882 20713 20713 I MCFQS   : (DiscoveryResponseUseCaseImpl) onTrimMemory()-[td:main] in
03-12 22:19:13.882 20713 20713 I MCFQS   : (AuthReceiver) stopServer()-[td:main] type=[2]
03-12 22:19:13.882  4205  4205 D S.S.N.  : updateMainListArray allMap child : 0|com.android.vending|-49572251|null|10260
03-12 22:19:13.882 20249 20249 I D_FME:[OfflineFindingEventReceiver]: Receive : android.intent.action.SCREEN_OFF
03-12 22:19:13.882  4205  4205 I AppIconSolution: return adaptive icon for com.android.vending, isNight = true
03-12 22:19:13.882 20249 20301 I D_FME:[OfflineFindingService]: handle Command : android.intent.action.SCREEN_OFF
03-12 22:19:13.882 20249 20301 I D_FME:[OfflineFindingService]: stopScan
03-12 22:19:13.882 20249 20301 E [MCFSDK_fmm_1.0.2039]_McfContext: getBleAdapter -return instance created 78408667
03-12 22:19:13.883 20249 20301 I [MCFSDK_fmm_1.0.2039]_McfAdapter: getBleAdapter  -  g [#0x11, X3.a@c6e40af]
03-12 22:19:13.883 20249 20301 I [MCFSDK_fmm_1.0.2039]_17_g: getBleScanner - 
03-12 22:19:13.883 20249 20301 I [MCFSDK_fmm_1.0.2039]_17_g: stopScan - 
03-12 22:19:13.883 20713 20713 I MCFQS   : (ScreenOnRepository) update()-[td:main] isActive=false (screen:false, dex:false)
03-12 22:19:13.883  3003  3003 I MdnieScenarioControlService: action  :  android.intent.action.SCREEN_OFF
03-12 22:19:13.883  4205  4205 D S.S.N.  : updateMainListArray allMap - key : 0|com.samsung.android.app.smartcapture|5755|null|10221, com.android.systemui.statusbar.notification.collection.NotificationEntry@1e3936a
03-12 22:19:13.883  4205  4205 D S.S.N.  : updateMainListArray allMap - key : 0|com.sygic.aura|0|null|10286, com.android.systemui.statusbar.notification.collection.NotificationEntry@97b2bc8
03-12 22:19:13.884  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=3
03-12 22:19:13.884  5393  5832 E bluetooth: system/gd/hci/le_scanning_manager.cc:929 scan_filter_parameter_setup: Remove passive filterScan. filter_index=52, uuid=0000fd69-0000-1000-8000-00805f9b34fb
03-12 22:19:13.884 20249 20301 I [MCFSDK_fmm_1.0.2039]_McfAdapter: closeBleAdapter - (#0x11)
03-12 22:19:13.884 20249 20301 I [MCFSDK_fmm_1.0.2039]_17_g: closeInternal - 
03-12 22:19:13.884  3003  3083 D ActivityManager: sync unfroze 26099 com.samsung.android.globalpostprocmgr for 3
03-12 22:19:13.884 20249 20301 I [MCFSDK_fmm_1.0.2039]_McfContext: closeBleAdapter  - g [#0x11, X3.a@c6e40af]
03-12 22:19:13.884  4205  4205 I ModuleClockView_SUB_LAUNCHER_1@80: refreshColor: Custom
03-12 22:19:13.884 20249 20301 I D_FME:[FMEBleManager       ]: stopScan : offline , mcf(true
03-12 22:19:13.884  4205  4205 I ModuleClockView_SUB_LAUNCHER_1@80: updateBaseTargetPaletteItem: base=SOLID color : FF4E2A23, target=SOLID color : FFCCA8A1
03-12 22:19:13.884  4205  4205 I ModuleClockView_SUB_LAUNCHER_1@80: setCustomColorInternal : color = #ff4e2a23 > #ffcca8a1, mIsWhiteWallpaper = true
03-12 22:19:13.884  4205  4205 I ModuleClockView_SUB_LAUNCHER_1@80: updatePaletteItemTransition : paletteItem = SOLID color : FFCCA8A1, animation = false, dozeAmount = 1.0
03-12 22:19:13.884 20249 20301 I D_FMM:[HelperLocationManager]: getCurrentTimeLine : 1
03-12 22:19:13.884 20249 20301 I D_FMM:[HelperLocationManager]: helper location already exist : 1
03-12 22:19:13.884 20249 20301 I D_FMM:[HelperLocationManager]: Helper location info not exist : 2
03-12 22:19:13.884 20249 20301 I D_FMM:[HelperLocationManager]: Check next time : 1
03-12 22:19:13.884  4205  4205 I ModuleClockView_SUB_LAUNCHER_1@80: updateShadowStyle: shadow : [ShadowStyle: shadowRadius = 4.25, shadowDx = 0.0, shadowDy = 0.0, shadowColor = 1A000000]
03-12 22:19:13.884  4205  4205 I DigitalVerticalClockView_SUB_LAUNCHER_1@57: refreshColor: Custom
03-12 22:19:13.884  4205  4205 I DigitalVerticalClockView_SUB_LAUNCHER_1@57: updateBaseTargetPaletteItem: base=SOLID color : FF4E2A23, target=SOLID color : FFCCA8A1
03-12 22:19:13.884  4205  4205 I DigitalVerticalClockView_SUB_LAUNCHER_1@57: setCustomColorInternal : color = #ff4e2a23 > #ffcca8a1, mIsWhiteWallpaper = true
03-12 22:19:13.885  4205  4205 I DigitalVerticalClockView_SUB_LAUNCHER_1@57: updatePaletteItemTransition : paletteItem = SOLID color : FFCCA8A1, animation = false, dozeAmount = 1.0
03-12 22:19:13.885  4205  4205 I DigitalVerticalClockView_SUB_LAUNCHER_1@57: updateShadowStyle: shadow : [ShadowStyle: shadowRadius = 4.25, shadowDx = 0.0, shadowDy = 0.0, shadowColor = 1A000000]
03-12 22:19:13.885  3003  3083 I ActivityManager: Changes in 10075 10 to 10, 0 to 128
03-12 22:19:13.885  4205  4205 I CoverComplicationWidgetManagerImpl(45045279):  setDozeAmount request update widget color:-3364703 / 1.0
03-12 22:19:13.885  4205  4205 I CoverComplicationWidgetManagerImpl(45045279):  updateColor: ff4e2a23  ffcca8a1
03-12 22:19:13.885  4205  4205 I SubLauncher:SubLauncherNotificationIndicatorView@177931743: isLiveIndicator: false
03-12 22:19:13.885  4205  4205 D SubLauncher:SubLauncherPageIndicatorPolicyView@76808005: setAvailable: false
03-12 22:19:13.885  4205  4205 D SubLauncher:SubLauncherPageIndicatorPolicyView@76808005: hide
03-12 22:19:13.885  4205  4205 D KeyguardVisible: visibilityChanged 4 -> 0
03-12 22:19:13.885  5938  5938 I [MCFServer]_BleAdapterManager: stopScan - BAScanCallback{Settings=BleScanSettings{mode=0, rssi=-128, timeout=30000, phy =0}, Callback=CB{i=17, h=75694526}}
03-12 22:19:13.885  3003  7124 I ActivityManager: Changes in 5025 10 to 10, 128 to 0
03-12 22:19:13.885 20713 20713 I MCFQS   : (DeviceConnectionService) onTrimMemory()-[td:main] level: 40
03-12 22:19:13.885 20713 20713 I MCFQS   : (DiscoveryResponseUseCaseImpl) onTrimMemory()-[td:main] in
03-12 22:19:13.885 20713 20713 I MCFQS   : (AuthReceiver) stopServer()-[td:main] type=[2]
03-12 22:19:13.886 26099 26121 I a       : [#GPP#] onReceive completed :  0
03-12 22:19:13.886  4205  4205 D MULTISIM-BIND: Bind [SIMINFO1, SIMINFO2]
03-12 22:19:13.886  3003  3003 I AdaptiveDisplaySolutionService: action  :  android.intent.action.SCREEN_OFF
03-12 22:19:13.886 26099 26099 I c       : [#GPP#] SCREEN OFF 
03-12 22:19:13.886 26099 26099 I o       : [#GPP#] Send sendSystemConditionChangeNotification 
03-12 22:19:13.887  3003  3003 I EyeComfortSolutionService: action  :  android.intent.action.SCREEN_OFF
03-12 22:19:13.887  3003  3083 I ActivityManager: Changes in 10106 10 to 10, 0 to 128
03-12 22:19:13.887  3003  3003 D SemWifiApIntentHandler: rcvd:android.intent.action.SCREEN_OFF
03-12 22:19:13.888  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.888  2071  2128 I sysinput:aidl: onReportInformation:91, 2, cmd@low_sensitivity_mode_enabl
03-12 22:19:13.888  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.888  3003  4015 I SemWifiApAdvancedAutohotspotService:  Screen OFF
03-12 22:19:13.888  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.888  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.888  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.888  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.888  3003  3003 I PersonaManagerService: UserReceiver.onReceive() {action:android.intent.action.SCREEN_OFF userHandle:-1}
03-12 22:19:13.888  3003  5521 I SemWifiApAdvancedAutohotspotService: got: CMD_SCREEN_OFF
03-12 22:19:13.888  3003  3993 D SysinputHAL_AIDL: setProperty(TSP_SUB(2)): CMD, low_sensitivity_mode_enable,0 ret=0
03-12 22:19:13.888  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.888  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.888  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.888  3003  5521 D SemWifiApAdvancedAutohotspotService: prev history :10
03-12 22:19:13.888  3003  5521 D SemWifiApSmartGattClient: mHotspotVersion value : 0
03-12 22:19:13.888  2071  2128 I sysinput:Touch2: operator():237, OK
03-12 22:19:13.888  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.888  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.888  3003  4015 D SemWifiApPowerSaveImpl: Lcd OFF
03-12 22:19:13.888  3003  4015 D SemWifiApSmartClient: LCD is OFF,so stop client advertisement by ScreenStateListener
03-12 22:19:13.889  3003  4015 D SemWifiApSmartClient: setWifiApSmartClient:false
03-12 22:19:13.889  3003  4015 D SemWifiApSmartBleScanner: Screen is OFF, restarting scanning
03-12 22:19:13.889 16245 16526 I Rubin   : [79] A8.b.A(Unknown Source) : Notify com.samsung.android.rubin.inferenceengine.contextanalytics.engine.loggers.AppUsageLogger's database is updated.
03-12 22:19:13.889  3003  6500 I WindowManager: Relayout Window{b1195f5 u0 NotificationShade}: viewVisibility=0 req=1080x2640 ty=2040 d0
03-12 22:19:13.889  5393  6882 E ScanManager: [GSIM LOG]: gsimLogHandler, msg: MESSAGE_SCAN_STOP, appName: com.samsung.android.mcfserver, scannerId: 3, reportDelayMillis=0
03-12 22:19:13.889  2105  2836 I SurfaceFlinger: id=16461 createSurf, flag=44004, NotificationShade$_4205#16461
03-12 22:19:13.889  3003  6500 D WindowManager: makeSurface duration=0 name=NotificationShade$_4205
03-12 22:19:13.889  3003  5496 D BluetoothAdapter: isLeEnabled(): BLE_ON
03-12 22:19:13.889  3003  5496 D BluetoothLeScanner: Stop Scan with callback
03-12 22:19:13.889 16161 23477 E LoadedApk: Exception : java.lang.NullPointerException: Attempt to invoke virtual method 'boolean android.os.Looper.isPerfLogEnable()' on a null object reference
03-12 22:19:13.890  3003  6500 V WindowManager: rotationForOrientation(orient=SCREEN_ORIENTATION_USER (2), last=ROTATION_0 (0)); user=ROTATION_0 (0) 
03-12 22:19:13.890  3003  6500 D WindowManager: rotationForOrientation, orientationSource=Window{b1195f5 u0 NotificationShade}
03-12 22:19:13.890  3003  6500 V WindowManager: Computed rotation=ROTATION_0 (0) for display id=0 based on lastOrientation=SCREEN_ORIENTATION_USER (2) and oldRotation=ROTATION_0 (0), caller=com.android.server.wm.DisplayRotation.updateOrientation:85 com.android.server.wm.DisplayContent.updateOrientation:44 com.android.server.wm.DisplayContent.updateOrientation:4 com.android.server.wm.WindowManagerService.relayoutWindow:1427 com.android.server.wm.Session.relayout:27 android.view.IWindowSession$Stub.onTransact:829 
03-12 22:19:13.890  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=1
03-12 22:19:13.890  3003  6500 I WindowManager: Relayout hash=b1195f5, pid=4205, syncId=-1: mAttrs={(0,0)(fillxfill) gr=TOP CENTER_VERTICAL sim={adjust=pan} layoutInDisplayCutoutMode=always ty=NOTIFICATION_SHADE fmt=TRANSLUCENT or=SCREEN_ORIENTATION_USER if=INPUT_FEATURE_DISABLE_USER_ACTIVITY userActivityTimeout=5000
03-12 22:19:13.890  3003  6500 I WindowManager:   fl=81160040
03-12 22:19:13.890  3003  6500 I WindowManager:   pfl=10080200
03-12 22:19:13.890  3003  6500 I WindowManager:   bhv=2
03-12 22:19:13.890  3003  6500 I WindowManager:   frameRateBoostOnTouch=true
03-12 22:19:13.890  3003  6500 I WindowManager:   dvrrWindowFrameRateHint=true screenDimDuration=0 naviIconColor=0
03-12 22:19:13.890  3003  6500 I WindowManager:   sfl=40000}
03-12 22:19:13.890  3003  4564 D SGM:GameManager: identifyForegroundApp. com.openai.chatgpt, mCurrentUserId: 0, callerUserId: 0
03-12 22:19:13.890  4205  4205 I BufferQueueProducer: [](id:106d000003d1,api:0,p:1871944112,c:4205) setDequeueTimeout:2077252342
03-12 22:19:13.890 16245 16245 I Rubin   : [2] com.samsung.android.rubin.inferenceengine.contextanalytics.engine.loggers.x.onReceive(Unknown Source) : Action=android.intent.action.SCREEN_OFF
03-12 22:19:13.891  4205  4205 I BLASTBufferQueue_Java: new BLASTBufferQueue, mName= VRI[NotificationShade]@d7ba77c mNativeObject= 0xb400006fbfd293d0 caller= android.view.ViewRootImpl.updateBlastSurfaceIfNeeded:3585 android.view.ViewRootImpl.relayoutWindow:11685 android.view.ViewRootImpl.performTraversals:4804 android.view.ViewRootImpl.doTraversal:3924 android.view.ViewRootImpl$TraversalRunnable.run:12903 android.view.Choreographer$CallbackRecord.run:1901 android.view.Choreographer$CallbackRecord.run:1910 android.view.Choreographer.doCallbacks:1367 android.view.Choreographer.doFrame:1292 android.view.Choreographer$FrameDisplayEventReceiver.run:1870 
03-12 22:19:13.891  4205  4205 I BLASTBufferQueue_Java: update, w= 1080 h= 2640 mName = VRI[NotificationShade]@d7ba77c mNativeObject= 0xb400006fbfd293d0 sc.mNativeObject= 0xb4000071ef93a510 format= -3 caller= android.view.ViewRootImpl.updateBlastSurfaceIfNeeded:3590 android.view.ViewRootImpl.relayoutWindow:11685 android.view.ViewRootImpl.performTraversals:4804 android.view.ViewRootImpl.doTraversal:3924 android.view.ViewRootImpl$TraversalRunnable.run:12903 android.view.Choreographer$CallbackRecord.run:1901 
03-12 22:19:13.891  5938  5938 I [MCFServer]_McfMainController: destroyBleAdapter - appId=17 , mBleAdapterCallbacks size:1
03-12 22:19:13.891  4205  4205 I VRI[NotificationShade]@d7ba77c: Relayout returned: old=(0,0,1080,2640) new=(0,0,1080,2640) relayoutAsync=false req=(1080,2640)0 dur=1 res=0x3 s={true 0xb40000707fe18ec0} ch=true seqId=29
03-12 22:19:13.891  4205  4205 D VRI[NotificationShade]@d7ba77c: mThreadedRenderer.initialize() mSurface={isValid=true 0xb40000707fe18ec0} hwInitialized=true
03-12 22:19:13.892  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=1
03-12 22:19:13.892  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=1
03-12 22:19:13.892  3003  4405 I BatteryService_BatteryPropertiesRegistrar: [getProperty]id:4
03-12 22:19:13.892  3003  4405 I BatteryService_BatteryPropertiesRegistrar: [getProperty]prop.long:-9223372036854775808 ,prop.string:null
03-12 22:19:13.892  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=1
03-12 22:19:13.892  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=1
03-12 22:19:13.892  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=1
03-12 22:19:13.893  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=1
03-12 22:19:13.893 16245 16526 I Rubin   : [79] com.samsung.android.rubin.inferenceengine.contextanalytics.engine.monitors.moment.exercise.ExercisingWithCmhMonitor.isSatisfiedByCmh(Unknown Source) : isSatisfiedByCmh is false
03-12 22:19:13.894  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=1
03-12 22:19:13.894  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=1
03-12 22:19:13.895  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=1
03-12 22:19:13.895  5393  6882 I bt_shim_scanner: system/main/shim/le_scanning_manager.cc:197 ScanFilterParamSetup: in shim layer, clientIf=1
03-12 22:19:13.895  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.895  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.895  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.895  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
03-12 22:19:13.895  4205  4205 E SecQSPanelResourcePickHelper: need to prepare suitable picker for COVER
